"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL2448065";"";"0";"467.37";"0";"4.90";"15";"COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl";"IC50";"'='";"300.0";"nM";"6.52";"";"";"UO_0000065";"15.14";"0.30";"1.62";"10.96";"0";"CHEMBL677388";"Inhibition of epidermal growth factor receptor kinase activity at a concentration of 2 uM of ATP";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135889";"1";"Scientific Literature";"J. Med. Chem.";"2002";"None";""
"CHEMBL153573";"";"0";"389.25";"1";"5.07";"64";"Nc1cc2sc3c(Nc4cccc(Br)c4)ncnc3c2cc1F";"IC50";"'='";"1.0";"nM";"9.00";"";"";"UO_0000065";"23.12";"0.53";"3.93";"14.10";"0";"CHEMBL679944";"Concentration needed to inhibit the phosphorylation of a 14-residue fragment of phospholipase C-gamma1 by Epidermal growth factor receptor (prepared from human A431 carcinoma cell vesicles by immunoaffinity chromatography)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132555";"1";"Scientific Literature";"J. Med. Chem.";"1999";"None";""
"CHEMBL286160";"";"0";"377.80";"0";"4.20";"3";"COCCOc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC";"IC50";"'='";"100.0";"nM";"7.00";"";"";"UO_0000065";"18.53";"0.37";"2.80";"10.69";"0";"CHEMBL677388";"Inhibition of epidermal growth factor receptor kinase activity at a concentration of 2 uM of ATP";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135889";"1";"Scientific Literature";"J. Med. Chem.";"2002";"None";""
"CHEMBL217092";"SARACATINIB";"3";"542.04";"1";"3.94";"33, AZD-0530";"CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1";"IC50";"'='";"2590.0";"nM";"5.59";"";"";"UO_0000065";"10.31";"0.20";"1.65";"6.18";"1";"CHEMBL854974";"Inhibition of recombinant EGFR by ELISA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137334";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL80809";"";"0";"456.58";"0";"4.81";"41";"CC(=O)NCCNCc1ccc(-c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2)cc1";"IC50";"'='";"5.0";"nM";"8.30";"";"";"UO_0000065";"18.18";"0.34";"3.49";"8.76";"0";"CHEMBL674107";"Inhibitory activity against epidermal growth factor receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146693";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2004";"None";""
"CHEMBL103860";"";"0";"274.27";"0";"2.29";"14";"O=C(O)c1cc(CCc2cc(O)ccc2O)ccc1O";"IC50";"'='";"3300.0";"nM";"5.48";"";"";"UO_0000065";"19.99";"0.37";"3.19";"5.59";"0";"CHEMBL674642";"Inhibition of EGF-R Tyrosine kinase (TK)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1127418";"1";"Scientific Literature";"J. Med. Chem.";"1994";"None";""
"CHEMBL428690";"ALVOCIDIB";"3";"401.85";"0";"3.30";"1 (flavopiridol)";"CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1";"IC50";"'='";"22000.0";"nM";"4.66";"";"";"UO_0000065";"11.59";"0.23";"1.36";"4.95";"0";"CHEMBL873605";"Inhibition of Epidermal growth factor receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133502";"1";"Scientific Literature";"J. Med. Chem.";"2000";"None";""
"CHEMBL144778";"";"0";"488.50";"1";"2.57";"12";"N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NC1CCCC[C@@H]1NC(=O)/C(C#N)=C/c1ccc(O)c(O)c1";"IC50";"'='";"13500.0";"nM";"4.87";"";"";"UO_0000065";"9.97";"0.18";"2.30";"2.61";"0";"CHEMBL679672";"Inhibitory activity of compound against Epidermal growth factor receptor autophosphorylation";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129590";"1";"Scientific Literature";"J. Med. Chem.";"1996";"None";""
"CHEMBL161895";"";"0";"345.41";"0";"3.45";"9u";"Cc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)c1";"IC50";"'='";"1.3";"nM";"8.89";"";"";"UO_0000065";"25.73";"0.47";"5.44";"9.72";"0";"CHEMBL674648";"Inhibit of phosphorylation of a tyrosine/glutamic acid copolymer by epidermal growth factor receptor prepared from human A431 carcinoma cell vesicles by immunoaffinity chromatography.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131301";"1";"Scientific Literature";"J. Med. Chem.";"1998";"None";""
"CHEMBL1934627";"";"0";"517.00";"2";"6.49";"20";"Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#Cc1ccc(CN2CCCC2)o1";"IC50";"'='";"79.0";"nM";"7.10";"";"";"UO_0000065";"13.74";"0.26";"0.61";"11.20";"0";"CHEMBL1935838";"Inhibition of EGFR by time-resolved fluorescence assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1933060";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2012";"None";""
